OTU	a1	a2	a3	a4	a5	a6
OTU_192	0	0	2	8	2	3
OTU_193	0	0	1	0	0	0
OTU_194	6	3	6	2	4	3
OTU_195	0	1	1	1	0	0
OTU_196	6	3	4	11	11	9
OTU_197	0	0	0	1	0	0
OTU_198	1	0	0	0	0	0
OTU_199	0	1	1	3	2	0
OTU_201	0	0	0	1	0	0
OTU_203	3	1	0	2	4	2
OTU_204	6	10	12	19	15	12
OTU_205	1	0	0	0	0	0
OTU_206	4	1	0	3	1	1
OTU_207	2	2	9	12	1	9
OTU_208	0	3	4	1	1	2
OTU_209	5	15	10	13	17	7
OTU_210	1	0	0	0	0	0
OTU_211	12	7	12	7	8	9
OTU_212	0	1	2	1	4	2
OTU_213	0	0	1	0	0	0
OTU_215	21	15	29	22	17	12
OTU_217	0	3	0	1	1	1
OTU_218	1	1	0	0	0	0
OTU_219	1	1	0	3	2	2
OTU_221	0	0	1	1	0	2
OTU_222	1	1	0	1	0	0
OTU_223	3	9	6	8	7	6
OTU_224	0	1	2	0	0	1
OTU_225	3	1	2	1	0	1
OTU_227	0	0	0	0	0	1
OTU_228	5	7	10	8	8	7
OTU_229	0	1	2	0	2	1
OTU_231	4	6	8	2	1	1
OTU_234	10	7	40	10	10	7
OTU_235	1	1	2	5	2	4
OTU_236	0	1	0	0	0	1
OTU_238	1	0	0	1	0	0
OTU_240	6	9	13	9	12	10
OTU_241	1	0	2	0	0	2
OTU_242	3	7	10	9	9	7
OTU_244	0	3	1	3	4	1
OTU_245	2	1	2	5	3	1
OTU_247	0	1	0	4	0	0
OTU_248	4	4	2	3	5	1
OTU_249	2	0	3	4	2	2
OTU_250	5	4	4	3	6	7
OTU_251	1	0	1	1	1	2
OTU_253	4	5	7	18	5	15
OTU_254	4	0	1	0	2	2
OTU_255	0	0	0	2	0	1
OTU_257	0	0	0	1	0	0
OTU_258	5	8	7	3	1	7
OTU_260	7	4	4	15	3	3
OTU_261	29	23	32	31	30	16
OTU_262	5	6	11	8	7	6
OTU_263	0	1	1	3	1	1
OTU_264	10	2	12	9	4	1
OTU_265	0	0	2	0	0	0
OTU_266	0	0	1	2	0	1
OTU_267	0	0	1	0	0	1
OTU_268	5	6	7	3	4	5
OTU_269	1	1	0	0	0	0
OTU_270	1	0	0	0	0	0
OTU_271	0	0	0	0	1	0
OTU_272	0	0	0	1	0	0
OTU_273	0	1	0	0	0	0
OTU_274	0	0	0	0	0	1
OTU_275	2	0	0	6	2	1
OTU_276	2	2	1	1	1	1
OTU_277	0	0	0	1	1	0
OTU_278	0	9	10	20	3	2
OTU_279	11	21	19	5	13	13
OTU_280	0	0	2	1	0	0
OTU_283	1	0	1	0	0	0
OTU_284	4	3	4	3	4	2
OTU_285	2	7	2	4	2	1
OTU_286	0	0	0	2	0	0
OTU_287	1	1	1	2	0	2
OTU_288	7	14	5	6	2	2
OTU_289	23	2	15	22	15	8
OTU_290	0	0	0	1	0	0
OTU_291	0	0	0	0	1	0
OTU_293	2	1	0	1	2	2
OTU_294	2	4	2	2	1	1
OTU_295	4	7	8	5	2	3
OTU_296	2	0	0	5	1	3
OTU_297	0	0	0	0	1	0
OTU_298	2	4	5	8	5	2
OTU_299	1	1	0	1	0	0
OTU_301	1	0	0	1	0	0
OTU_302	0	1	0	2	0	0
OTU_303	2	2	2	3	2	0
OTU_304	0	3	2	1	1	2
OTU_305	2	5	2	2	5	1
OTU_307	0	0	0	1	0	0
OTU_308	4	5	5	6	3	5
OTU_310	4	5	11	12	12	9
OTU_311	0	0	1	0	0	0
OTU_313	5	2	3	6	6	4
OTU_314	2	2	0	2	0	0
OTU_315	5	0	3	2	1	2
OTU_316	0	0	0	1	0	0
OTU_317	0	1	0	0	0	0
OTU_318	0	0	1	0	0	0
OTU_319	3	2	0	3	2	0
OTU_320	2	0	0	1	3	1
OTU_321	0	0	1	0	0	2
OTU_322	0	1	0	0	1	2
OTU_323	1	1	0	3	0	0
OTU_324	0	0	1	0	0	0
OTU_325	1	0	0	0	1	1
OTU_326	0	0	0	1	0	0
OTU_327	1	2	0	0	0	2
OTU_328	0	0	0	0	1	0
OTU_330	1	1	2	3	1	2
OTU_331	0	0	1	0	0	0
OTU_333	0	5	1	4	2	1
OTU_336	0	1	1	0	3	0
OTU_337	0	0	1	0	0	0
OTU_338	1	1	2	1	2	6
OTU_339	1	0	2	2	1	1
OTU_340	1	0	0	0	1	0
OTU_341	7	3	3	6	1	2
OTU_342	0	0	0	2	0	0
OTU_343	0	0	2	1	0	0
OTU_344	0	0	0	1	0	0
OTU_345	0	0	0	1	0	0
OTU_346	1	3	5	0	6	4
OTU_347	0	1	0	1	0	0
OTU_348	4	3	4	1	1	1
OTU_349	0	2	2	1	2	3
OTU_350	0	0	1	0	0	0
OTU_351	0	0	1	1	0	1
OTU_352	0	1	1	2	1	0
OTU_354	6	8	9	9	12	2
OTU_355	0	0	1	0	0	0
OTU_356	1	2	3	0	1	1
OTU_357	1	0	0	2	0	1
OTU_358	1	1	0	2	0	1
OTU_359	1	1	3	1	3	2
OTU_360	0	1	0	0	0	0
OTU_361	16	9	9	20	16	16
OTU_362	26	46	39	29	37	32
OTU_364	1	0	1	0	0	1
OTU_365	0	2	4	3	1	2
OTU_366	0	0	1	0	0	0
OTU_367	0	0	0	1	0	0
OTU_368	33	23	42	27	33	29
OTU_369	0	1	0	3	1	0
OTU_370	0	0	0	2	0	0
OTU_371	0	0	0	1	0	0
OTU_373	1	0	2	0	0	1
OTU_374	2	1	4	4	0	1
OTU_375	1	0	1	1	0	2
OTU_376	2	1	3	3	4	1
OTU_378	14	10	37	18	9	10
OTU_380	1	0	0	0	0	0
OTU_381	0	1	2	0	2	4
OTU_382	0	0	2	0	0	0
OTU_384	0	1	0	0	0	1
OTU_385	0	0	0	1	1	0
OTU_386	0	2	3	1	0	1
OTU_387	3	1	1	5	0	0
OTU_388	0	0	1	0	0	0
OTU_389	0	0	0	3	1	2
OTU_390	0	0	0	1	0	0
OTU_391	0	1	1	1	1	0
OTU_392	1	0	0	9	2	1
OTU_393	1	0	0	0	0	1
OTU_395	0	2	2	0	0	2
OTU_396	0	0	0	0	0	1
OTU_397	0	0	1	3	1	3
OTU_399	1	1	0	1	1	0
OTU_400	4	1	2	3	0	0
OTU_401	0	2	0	1	1	0
OTU_403	1	0	1	0	0	0
OTU_405	1	1	4	2	0	1
OTU_406	7	7	26	10	1	5
OTU_407	0	0	0	1	2	0
OTU_408	3	6	3	4	5	4
OTU_410	0	0	0	1	0	1
OTU_411	0	0	0	1	0	0
OTU_412	0	0	1	0	0	0
OTU_413	0	0	1	0	0	2
OTU_415	16	9	8	30	12	19
OTU_416	5	21	6	6	13	4
OTU_417	0	1	2	1	0	0
OTU_419	0	0	1	0	0	0
OTU_420	3	6	6	14	11	13
OTU_422	0	0	0	1	0	1
OTU_423	3	2	4	2	6	2
OTU_427	17	14	19	9	8	8
OTU_431	13	34	35	11	36	15
OTU_433	0	1	0	0	0	0
OTU_436	0	0	0	0	1	0
OTU_438	2	0	0	5	2	2
OTU_439	0	0	0	0	0	1
OTU_440	1	0	1	0	2	0
OTU_441	0	0	0	7	0	1
OTU_442	3	2	5	2	6	0
OTU_443	2	0	6	2	0	5
OTU_444	4	4	13	12	4	3
OTU_445	1	0	2	0	0	0
OTU_449	1	0	0	1	0	1
OTU_450	2	0	1	4	4	0
OTU_451	0	0	1	0	0	0
OTU_452	0	0	0	1	1	0
OTU_453	8	1	1	11	5	4
OTU_455	0	1	1	3	0	1
OTU_456	0	0	0	1	0	0
OTU_457	0	0	1	0	0	0
OTU_458	0	0	1	0	0	2
OTU_459	1	4	5	3	2	1
